beta_t,beta,best_actor_num,mean-okl/0,mean-bkl/0,mean-okl/1,mean-bkl/1,mean-okl/2,mean-bkl/2,mean-okl/3,mean-bkl/3,return-average/0,episode-length-avg/0,return-average/1,episode-length-avg/1,return-average/2,episode-length-avg/2,return-average/3,episode-length-avg/3,return-average,time-eval,time-total,epoch,avg-path-return/0,total-samples/0,avg-path-return/1,total-samples/1,avg-path-return/2,total-samples/2,avg-path-return/3,total-samples/3
8.0,8.0,0,0.045203436,0.045203436,0.07286109,0.07370918,0.1253781,0.23825654,0.021383798,0.06606348,507.1967729420859,676.2,286.38667151937705,687.8,-424.67794798327,518.6,908.6640011279972,832.9,319.3923744015475,51.8681010149885,62108.08975453535,540,502.4362006480181,136000.0,496.38157505780947,136000.0,-377.19783123878545,136000.0,438.1447759153889,136000.0
8.0,8.0,0,0.050580934,0.050580934,0.040267732,0.11095698,0.12984864,0.2696103,0.045887947,0.12335725,226.62729535701556,504.1,24.737251820223484,257.4,-498.08472911780984,619.8,31.53982051599245,531.5,-53.795090356144584,47.73540178197436,62570.98595395556,544,488.53020967925625,137000.0,428.8894894998865,137000.0,-373.1655184430664,137000.0,444.0171622807703,137000.0
8.0,8.0,1,0.038913693,0.09601021,0.121699415,0.121699415,0.11882029,0.27416894,0.076224335,0.10194598,230.39099180618717,233.8,16.159903101073485,183.9,-237.68729823036637,445.5,248.65559678846313,654.6,64.37979836633936,34.05935389001388,63024.42140506813,548,395.8922390961439,138000.0,256.20381661571116,138000.0,-374.58477909943264,138000.0,209.771799661496,138000.0
8.0,8.0,0,0.04936474,0.04936474,0.07182247,0.18491688,0.13351324,0.27585822,0.028565697,0.08994168,132.59288721213517,662.1,-172.35307665090937,619.6,-463.6788556889529,535.3,553.4651574088518,524.4,12.506528070281178,26.908348285011016,63490.56462920888,552,446.77203041314823,139000.0,169.52038297022858,139000.0,-338.51189052597226,139000.0,162.2738505349258,139000.0
8.0,8.0,0,0.053780437,0.053780437,0.08397929,0.21490927,0.11919478,0.2637534,0.030270504,0.092089064,165.8685732198773,560.0,-426.27617215812535,712.6,-279.8688660948033,424.8,430.61341270517266,473.7,-27.415763081969686,36.3946772509953,63959.10298698174,556,333.10671330046637,140000.0,64.46694612535507,140000.0,-377.8334988327504,140000.0,218.2883020531859,140000.0
8.0,8.0,0,0.05787399,0.05787399,0.10381136,0.23804702,0.10705574,0.24810264,0.037894774,0.09556034,139.92625396453425,386.4,-342.25393580070323,519.7,-532.7977738133865,810.1,568.1913556616382,821.4,-41.7335249969793,38.911227014963515,64428.48822317785,560,276.31327869033,141000.0,-159.50102397299955,141000.0,-419.6446379655699,141000.0,212.05868609554506,141000.0
8.0,8.0,0,0.05617262,0.05617262,0.12919922,0.28755686,0.08454736,0.2296441,0.036101647,0.0882599,516.5941263834591,771.0,-467.266713428995,440.6,-100.66052388783001,805.8,614.9209174176352,725.4,140.89695162106733,41.48159147799015,64907.362757596304,564,252.2448891183034,142000.0,-125.37998489610513,142000.0,-350.5567796581453,142000.0,247.1341062229216,142000.0
8.0,8.0,3,0.03853823,0.08728746,0.1410536,0.34287736,0.08406378,0.19275586,0.05604601,0.05604601,589.7273433227167,712.6,-136.97894021147735,255.4,-164.1978249250514,743.6,156.82210733850206,665.8,111.3431713811725,48.55984143191017,65373.265315313474,568,188.31171948614715,143000.0,-208.1544101180669,143000.0,-336.291278295732,143000.0,254.7610371728171,143000.0
8.0,8.0,3,0.034053806,0.08677089,0.10050085,0.31699067,0.081926145,0.17046799,0.056754213,0.056754213,721.6423296056572,798.8,-940.7701446480556,618.5,137.93210455877232,536.7,587.9803624227512,1000.0,126.69616298478128,41.98234970192425,65853.32736091642,572,177.22219977064074,144000.0,-289.752046376324,144000.0,-275.7025115354073,144000.0,285.270025027751,144000.0
8.0,8.0,3,0.037890173,0.0803574,0.1469157,0.29924372,0.07609207,0.16532704,0.05870041,0.05870041,672.0189746356325,627.6,-554.7549464042747,1000.0,102.60353112517092,932.9,580.4813564485644,943.1,200.08722895127326,50.29781373706646,66340.66129818163,576,237.813826484553,145000.0,-352.45866595031464,145000.0,-243.159281598624,145000.0,338.4373949797363,145000.0
8.0,8.0,3,0.028477885,0.07847128,0.078539476,0.283058,0.075994216,0.16470611,0.05153411,0.05153411,759.7212512384571,667.9,-473.5615691049378,1000.0,34.02004301726488,469.4,473.7278783930966,1000.0,198.47690088597017,61.08057117194403,66818.78451403999,580,286.9071797318025,146000.0,-417.9304594274914,146000.0,-194.23335644697897,146000.0,434.0046539281249,146000.0
8.0,8.0,3,0.025569173,0.0800028,0.09205315,0.2745675,0.059726745,0.14593524,0.044563353,0.044563353,649.6570243938063,684.6,-332.42581962749557,905.5,112.15132165397162,967.9,267.4349304543811,666.1,174.2043642186659,51.23882433702238,67304.81418513658,584,349.1397274434578,147000.0,-356.34162234962764,147000.0,-232.6021457345155,147000.0,413.72688310662477,147000.0
8.0,8.0,0,0.04344053,0.04344053,0.080600515,0.24266425,0.059877273,0.14024542,0.03327701,0.0781403,185.71874555550772,481.8,-781.8201843999291,1000.0,203.0334701583441,484.2,348.7278961602899,571.7,-11.085018131446844,58.250521580921486,67781.20128153625,588,495.34414065191504,148000.0,-366.60179430774645,148000.0,-72.93536904957587,148000.0,383.0722162150509,148000.0
8.0,8.0,0,0.055841282,0.055841282,0.06592708,0.21645546,0.053714804,0.13780771,0.025262833,0.07636596,176.1138342694429,419.5,-540.2555230717028,911.7,96.98522972953744,439.4,340.10888136279425,625.6,18.238105572517952,45.91649960097857,68253.79227740574,592,558.3542276028819,149000.0,-301.6549242596463,149000.0,59.09849955673447,149000.0,337.38900883598626,149000.0
8.0,8.0,0,0.054930724,0.054930724,0.06578941,0.20305914,0.053274915,0.14313644,0.025474278,0.08020517,200.2218636754907,461.8,-204.57597472215033,1000.0,99.55059177301328,558.3,760.6936996505773,843.4,213.97254509423274,43.07929226802662,68733.76730495167,596,546.2743616568571,150000.0,-343.16135152674957,150000.0,49.46572501244214,150000.0,321.53211846025494,150000.0
8.0,8.0,0,0.04805118,0.04805118,0.07868761,0.19101116,0.04723346,0.12873311,0.035176996,0.081657946,596.3150348810844,735.4,-13.084445436450233,918.4,123.83788013469955,630.5,624.6243539275447,652.1,332.92320587671963,51.03158813202754,69212.7553728323,600,572.7973866749259,151000.0,-413.5539676424346,151000.0,46.46941235445637,151000.0,374.60524922693986,151000.0
8.0,8.0,0,0.051740304,0.051740304,0.0676001,0.170463,0.06436219,0.17066059,0.041373078,0.079550795,417.6819784641904,523.5,76.63016072315533,849.5,-1472.550084085004,809.1,721.8301596917955,725.4,-64.10194630146569,51.484626949066296,69693.98278841435,604,478.1084059332914,152000.0,-388.5188265772496,152000.0,46.85187730516838,152000.0,457.38665693810236,152000.0
16.0,16.0,0,0.053029723,0.053029723,0.04635426,0.104559585,0.14354348,0.22249646,0.03436894,0.055672575,345.55262769236435,550.6,373.14545357965926,816.1,-452.47152990156866,704.1,643.291309173876,764.1,227.37946513608273,51.47013783408329,70173.93023574713,608,460.89369443259676,153000.0,-462.7946844745121,153000.0,107.91674935882409,153000.0,405.9882261285767,153000.0
16.0,16.0,3,0.028501853,0.047800645,0.041158136,0.083717726,0.090776876,0.20214508,0.039836213,0.039836213,956.3107732165314,910.3,295.8641984222437,750.2,468.843969888195,1000.0,228.7945873210086,453.8,487.45338221199466,49.44467347301543,70650.99160759815,612,524.6991277187708,154000.0,-303.59938712271787,154000.0,-70.54757054422355,154000.0,575.0865978186091,154000.0
16.0,16.0,3,0.036901735,0.04897077,0.061245266,0.082258925,0.082701385,0.17303912,0.046896923,0.046896923,710.6565199350664,852.9,164.3540179796459,901.1,605.483656463545,934.4,303.3799072772748,460.6,445.96852541388307,49.863573667011224,71151.55840661621,616,452.65843102874294,155000.0,-244.07715095918462,155000.0,-89.62273971872622,155000.0,546.053740829349,155000.0
16.0,16.0,3,0.026876796,0.048736587,0.035589967,0.081362136,0.055717606,0.16096516,0.03496034,0.03496034,554.824395872547,703.8,314.9288407843097,831.8,408.1817373819214,1000.0,388.22046038295196,858.9,416.53885860543255,57.146843001944944,71657.89977316384,620,321.11246055458,156000.0,-176.12155208094654,156000.0,-76.79626593071387,156000.0,525.0663357082968,156000.0
16.0,16.0,3,0.035340965,0.047661245,0.052098222,0.07681134,0.061668497,0.15291846,0.039203107,0.039203107,341.6264499779186,805.0,101.03039475372807,516.2,-105.29599136679147,611.5,185.0691087731784,450.9,130.6074905345084,61.71266125899274,72146.27488764748,624,361.89812505937465,157000.0,-98.09015551627922,157000.0,-32.681542557638736,157000.0,554.8458085857922,157000.0
16.0,16.0,3,0.03484546,0.051118616,0.04174237,0.07593749,0.07112288,0.1605393,0.05045978,0.05045978,622.677209039717,889.7,223.874496559127,905.4,137.12679006844618,902.8,288.0252993553646,373.5,317.92594875566374,43.98499632801395,72646.61563450703,628,424.7898764797936,158000.0,42.46946391627843,158000.0,-66.53284336143841,158000.0,450.7156366625427,158000.0
16.0,16.0,0,0.05326309,0.05326309,0.048896194,0.06597834,0.06603125,0.16804697,0.04076778,0.047109902,413.49603232643994,647.5,360.2756621009017,463.7,-163.47930115459593,739.5,679.6442089090654,756.8,322.48415054545274,56.55993214098271,73132.4264998862,632,439.5358977474699,159000.0,92.56669302506084,159000.0,-36.40768064155075,159000.0,283.9217490329042,159000.0
16.0,16.0,0,0.037770197,0.037770197,0.042176966,0.07587222,0.07041842,0.17859349,0.032229193,0.0479683,412.967159220171,553.1,376.3205597796501,812.5,-617.2717367475415,823.9,748.1571193208918,754.0,230.04327539329287,41.747532226960175,73629.25298520701,636,499.1221565612097,160000.0,229.45569996488175,160000.0,18.616402614813857,160000.0,174.1673665832904,160000.0
16.0,16.0,0,0.040108908,0.040108908,0.0471044,0.077017196,0.10369058,0.19843243,0.04027269,0.048263937,364.6853339614981,536.4,574.7881222682157,728.6,-486.12362802348406,514.6,1026.9398286905505,866.7,370.07241422419503,52.099218046991155,74120.98054354615,640,415.49463903938266,161000.0,259.71849694749665,161000.0,-35.36619629480904,161000.0,253.6179540859667,161000.0
16.0,16.0,3,0.044538062,0.031384904,0.019920731,0.05450133,0.080442384,0.19259101,0.062870435,0.062870435,727.4825545728347,806.2,636.7695392315153,759.0,-333.48134901289694,425.4,422.9724921522651,544.4,363.43580923592947,47.575339019997045,74611.97226099926,644,324.2929333862443,162000.0,323.44099536452273,162000.0,-105.39934319512693,162000.0,412.13785931598875,162000.0
16.0,16.0,3,0.03378743,0.044102464,0.03858319,0.06331528,0.102586575,0.24726233,0.043241855,0.043241855,637.8780460970914,826.7,536.3518344545489,1000.0,-791.3877761892207,706.8,476.9344601887824,779.8,214.94414113780047,46.15880295494571,75117.66895386449,648,226.96385800820684,163000.0,354.9703565856802,163000.0,-158.9755918955364,163000.0,458.9809624461533,163000.0
16.0,16.0,3,0.024480853,0.04702964,0.029094048,0.062063444,0.08682605,0.24967554,0.039162625,0.039162625,601.5172729783787,698.4,507.191792857974,737.5,-622.2708492156535,516.3,314.20298482564306,596.5,200.16030036158557,61.4769903710112,75608.01064820495,652,271.3768194499489,164000.0,406.3953081741952,164000.0,-256.1174764089461,164000.0,493.44203811944374,164000.0
16.0,16.0,3,0.028778194,0.04764824,0.033913083,0.05628857,0.08836665,0.23094754,0.04404204,0.04404204,877.8225532071377,1000.0,562.6039772034744,730.3,-676.0119883440357,904.4,444.95375976796015,599.6,302.3420754586341,47.06265302095562,76108.83727994084,656,307.07850465514105,165000.0,451.634419748871,165000.0,-398.1093792074986,165000.0,525.2171610245921,165000.0
16.0,16.0,1,0.015946275,0.032978833,0.093336515,0.093336515,0.068261355,0.21991295,0.046918847,0.03653842,668.4733315104246,749.3,-231.77794871838333,726.4,-131.59453323777942,329.3,430.1873130789812,598.3,183.82204065831078,56.79929323098622,76593.01091409475,660,370.9327271920571,166000.0,520.7368353537356,166000.0,-503.9702306905698,166000.0,512.4085019773795,166000.0
8.0,8.0,3,0.03670083,0.06167023,0.059858788,0.15730503,0.12773912,0.28993985,0.05368502,0.05368502,880.8019994841914,866.8,-112.79933753180062,737.3,-615.4000736987531,616.2,178.9784199739367,621.2,82.8952520568936,39.545445327996276,77089.67982635275,664,447.0390132883329,167000.0,451.77672143524507,167000.0,-500.82782131880185,167000.0,540.408498080073,167000.0
8.0,8.0,0,0.055599425,0.055599425,0.04211364,0.11473018,0.09964342,0.31010625,0.04493243,0.050298955,537.310284950411,566.2,-85.75794654157451,620.2,-847.4035662452886,635.4,282.01939397029446,331.1,-28.457958466539424,52.397819084930234,77572.93465449999,668,522.9053863926198,168000.0,372.3689594704574,168000.0,-536.6026922932243,168000.0,227.34128763681957,168000.0
8.0,8.0,0,0.04194319,0.04194319,0.038458526,0.11801013,0.10025141,0.35945007,0.02675655,0.07130339,789.7215128508719,711.0,122.69140998526423,712.3,-1758.2539767524509,1000.0,618.2479534157901,566.7,-56.898275125131136,39.764148223097436,78070.18754454306,672,474.4454539720679,169000.0,196.73539831303393,169000.0,-652.9359164601291,169000.0,289.2947962490163,169000.0
16.0,16.0,0,0.03492807,0.03492807,0.03308384,0.067157365,0.08808956,0.2216869,0.02561251,0.05067324,432.91309936906026,555.2,435.30313919827904,772.8,-128.53882817271486,916.5,724.8047807053111,746.0,366.12054777498395,53.41504927794449,78571.0136663511,676,509.12287574545115,170000.0,91.4614756284567,170000.0,-635.6234414697666,170000.0,337.3713215458531,170000.0
16.0,16.0,0,0.043125458,0.043125458,0.03465583,0.06725212,0.082610115,0.20763578,0.028393658,0.05958866,227.5213222879911,396.9,54.306654894333086,809.4,-397.65020819848746,718.3,326.81622450990824,658.3,52.748498373436234,55.3011897749966,79062.24595275859,680,574.1269713314458,171000.0,67.9425429759155,171000.0,-439.251632155556,171000.0,353.7647168447303,171000.0
16.0,16.0,0,0.05668989,0.05668989,0.04621645,0.06294529,0.1201297,0.21236719,0.043940954,0.058744293,85.44911436502784,609.9,755.1659736092304,907.2,-183.87721002545527,908.0,770.7389376851761,990.1,356.8692039084948,48.122645923052914,79554.74529827503,684,384.9781671988918,172000.0,95.5102623782174,172000.0,-364.7363657396974,172000.0,401.74968760861543,172000.0
8.0,8.0,3,0.04218248,0.09025118,0.04696606,0.087423734,0.11490323,0.28000715,0.049925428,0.049925428,1086.8326178992652,778.0,716.2729832283578,803.9,-549.3661235496465,830.7,186.66941051384478,809.3,360.1022220229553,50.19013211200945,80052.46872973733,688,366.92465984270956,173000.0,93.22518122769284,173000.0,-307.0000347662361,173000.0,372.84175203308837,173000.0
8.0,8.0,0,0.06310001,0.06310001,0.033055454,0.06860564,0.08140481,0.2432688,0.058454677,0.062393654,-175.54095805226297,536.6,225.20165505762034,616.8,-659.6973110840602,719.3,997.1774017267402,911.4,96.78519691200935,58.17374943301547,80547.99926165328,692,390.26108447240347,174000.0,83.07730042977775,174000.0,-377.71064972389996,174000.0,386.9299254658996,174000.0
8.0,8.0,0,0.072289675,0.072289675,0.045098998,0.09299173,0.09119199,0.25591078,0.045585044,0.092110746,-263.2314573496753,808.3,593.9264067486245,917.6,-1126.3008084847415,917.1,264.66266098309245,659.9,-132.735799525675,50.4218596839346,81006.384446827,696,363.36611792013554,175000.0,176.15165005666614,175000.0,-475.3549552397566,175000.0,436.6215716563759,175000.0
8.0,8.0,3,0.043516662,0.12267601,0.037950028,0.101441786,0.12852195,0.29046968,0.08683709,0.08683709,396.84649052155487,525.8,435.8691771674591,818.0,-871.8154873397752,818.6,20.17094121269837,641.9,-4.732219609515712,54.846584956976585,81439.55736961961,700,320.56737158712406,176000.0,195.53140678575127,176000.0,-511.2648800127703,176000.0,484.15860150891257,176000.0
8.0,8.0,3,0.043599173,0.1264797,0.039035894,0.10366072,0.14215182,0.24759293,0.07770794,0.07770794,364.67215819465315,720.1,583.1439848167415,707.1,-438.27204921253286,488.8,-158.9941027574193,847.7,87.63749776036062,51.51343283895403,81894.53971222346,704,307.0905395142366,177000.0,284.7949181360485,177000.0,-627.2257904961286,177000.0,450.4227460299879,177000.0
8.0,8.0,3,0.04029138,0.12530059,0.044012666,0.109074146,0.08010218,0.2658079,0.07399161,0.07399161,396.91623679374845,643.4,1028.7181761649713,987.1,-407.11517638572076,722.9,-209.9883012549726,736.7,202.13273382950655,48.569622086011805,82363.36516444501,708,322.0149510046076,178000.0,296.9494035739306,178000.0,-460.37085233578694,178000.0,414.11002827271443,178000.0
16.0,16.0,0,0.117039494,0.117039494,0.02339692,0.042548724,0.045910288,0.10910705,0.061078414,0.044333365,-156.0837204079241,806.6,671.94482095291,913.8,259.6185676131145,755.6,496.01130720963386,753.1,317.8727438419336,55.62583963596262,82834.67104763084,712,304.70320503461795,179000.0,331.8272431870561,179000.0,-430.18267778249873,179000.0,339.797147337195,179000.0
8.0,8.0,1,0.032658882,0.08881408,0.039563306,0.039563306,0.096120834,0.20618899,0.038547974,0.09545049,360.3437503911299,822.7,352.8275588690591,733.2,72.816040023978,345.1,520.5155308298729,664.4,326.62572002850993,58.729902800987475,83292.13856712903,716,337.3920867055136,180000.0,380.7218603104019,180000.0,-421.3587698468511,180000.0,202.98858808901167,180000.0
8.0,8.0,1,0.04628039,0.09127439,0.0574858,0.0574858,0.09659913,0.25015083,0.03467477,0.09307229,314.98808613465707,831.1,284.1087974920388,646.4,-1272.3655911850965,1000.0,926.0098930788514,967.7,63.1852963801127,46.95881160907447,83759.33168143034,720,298.0814472228548,181000.0,379.3378539686784,181000.0,-358.087290968436,181000.0,164.19331044830017,181000.0
16.0,16.0,1,0.04059047,0.063394584,0.056218058,0.056218058,0.07077628,0.15726161,0.041864935,0.06521053,545.7271534788182,727.3,191.31914767294785,558.2,-239.630229517317,1000.0,604.3650086656229,644.5,275.445270075018,56.43059072108008,84222.8938928888,724,295.3039698335963,182000.0,378.21291860619635,182000.0,-349.51345170671607,182000.0,188.05410378184936,182000.0
16.0,16.0,1,0.031078951,0.055617873,0.059197485,0.059197485,0.046563946,0.13660866,0.028712476,0.054463126,1158.8678869149317,920.7,76.49702883061512,408.2,33.68911032962363,906.6,1088.666017202695,879.4,589.4300108194664,52.691976950038224,84689.9755727743,728,275.3169623497068,183000.0,411.39586092683356,183000.0,-247.37461043693173,183000.0,239.10710815493377,183000.0
16.0,16.0,1,0.048812445,0.054908462,0.051328067,0.051328067,0.06357234,0.13581638,0.042465404,0.053187262,744.9762002031287,739.4,394.36982839309485,658.6,46.12512602930972,576.1,693.4083865897037,792.6,469.71988530380924,55.812045912025496,85149.80617592006,732,311.30939450522357,184000.0,428.727757858981,184000.0,-127.9094083118966,184000.0,357.22125525448394,184000.0
16.0,16.0,3,0.0155004235,0.032141786,0.04765895,0.030529164,0.038060673,0.09656933,0.07109341,0.07109341,573.5960023514054,578.0,963.5960227101998,848.0,-7.9572759300645775,901.0,758.8150534665294,692.4,572.0124506495176,50.131151981069706,85598.42518579145,736,345.9467568640759,185000.0,454.7488292370469,185000.0,19.78512216103084,185000.0,471.7294934105368,185000.0
8.0,8.0,1,0.022008397,0.050862458,0.06022571,0.06022571,0.06768586,0.16079566,0.032390684,0.04435933,833.9941714804274,905.2,620.5659566943366,858.2,-124.45396846999722,396.3,681.5573519313044,790.6,502.9158779090178,38.213653877028264,86065.4163472323,740,350.77900496006527,186000.0,522.7226781140976,186000.0,-9.003042414594692,186000.0,436.71622582107676,186000.0
8.0,8.0,3,0.020062275,0.05092912,0.0422723,0.05039169,0.06819537,0.16498703,0.061690066,0.061690066,1011.7199448289091,926.3,1096.186508826442,1000.0,-555.224831238323,907.0,396.38462750637626,550.4,487.26656248085106,53.46888309903443,86539.7999496184,744,420.37049667446865,187000.0,528.5078725204339,187000.0,-60.407687007087894,187000.0,561.4897752470371,187000.0
8.0,8.0,3,0.02388472,0.0715385,0.026590183,0.07773721,0.06462477,0.19718589,0.045359053,0.045359053,499.87295230451093,726.0,735.7956529978978,936.4,-211.17284211070597,814.4,173.22723233190436,657.3,299.4307488809018,61.00563064508606,87006.06985563121,748,499.74370887893,188000.0,485.3395443358157,188000.0,-37.790046133214545,188000.0,591.3383187509855,188000.0
16.0,16.0,3,0.03202397,0.05424447,0.029905507,0.051897537,0.04277595,0.11184679,0.043571606,0.043571606,420.25341669947437,460.2,714.6997989478199,743.5,264.80578321354994,763.0,280.7611303499334,769.4,420.1300323026944,57.15387532999739,87461.02586777334,752,508.8991845522827,189000.0,492.3781756778406,189000.0,80.66455636684331,189000.0,570.6408928678858,189000.0
16.0,16.0,1,0.019312222,0.037290152,0.0803806,0.0803806,0.037320975,0.088985376,0.035100613,0.0313849,495.0578699939762,736.8,694.7323529505927,730.8,-36.51556423513781,1000.0,466.21395360987907,624.5,404.87215307982757,43.37005022994708,87928.7820061479,756,437.2494357467948,190000.0,550.6179345770822,190000.0,119.21475034985353,190000.0,480.8970672983701,190000.0
8.0,8.0,1,0.053534158,0.100905314,0.060278326,0.060278326,0.08083983,0.17482883,0.0328573,0.080491036,146.9817975005746,664.2,899.8281397854229,791.5,-145.85492767983425,904.5,905.289480496934,864.6,451.5611225257743,55.144425339996815,88397.25650896435,760,385.2909330375216,191000.0,569.2143574221194,191000.0,118.77424523137533,191000.0,543.1851507396339,191000.0
8.0,8.0,1,0.02719996,0.11428005,0.051297303,0.051297303,0.088543236,0.21574874,0.020822937,0.08310675,248.03147681476125,620.1,1103.1891426883114,868.6,-158.3313607835822,401.8,783.6552060155836,483.9,494.13611618376854,56.02543528203387,88852.9678393642,764,353.6267895647603,192000.0,543.885816655247,192000.0,104.61938961654815,192000.0,479.8508953569852,192000.0
16.0,16.0,3,0.02040571,0.052114297,0.03583775,0.030969627,0.03822662,0.109460875,0.0692918,0.0692918,286.1889908147695,763.8,1145.1753313621225,1000.0,274.3890671718742,686.4,438.03591987664083,762.6,535.9473273063518,42.15231958497316,89317.3298454656,768,269.70972188036677,193000.0,412.87003824286796,193000.0,59.81994651607023,193000.0,450.1553650679267,193000.0
16.0,16.0,1,0.041614342,0.065820724,0.05112607,0.05112607,0.0509621,0.1141834,0.03318521,0.048743814,543.3051575258164,831.8,672.0374564934657,803.5,312.69829417828635,760.9,459.2692849612546,642.9,496.82754828970576,52.9034807930002,89783.52480713115,772,199.1073793546506,194000.0,444.28025568513124,194000.0,105.56523011550061,194000.0,389.300547038514,194000.0
16.0,16.0,3,0.052459285,0.063102774,0.04942083,0.04752525,0.045138706,0.12576379,0.056496274,0.056496274,410.7314616026312,609.2,1038.436559676837,811.4,-499.5581497977996,810.7,273.62592546580447,602.2,305.80894923686833,53.851383802015334,90246.10410945164,776,276.0644710473967,195000.0,514.8246696001937,195000.0,49.21196588985807,195000.0,519.2274276388326,195000.0
8.0,8.0,1,0.043866906,0.097084776,0.052026078,0.052026078,0.05801768,0.15494663,0.031112365,0.06574922,-14.993591057552951,814.7,657.266348695164,739.6,-188.9480178522097,829.4,672.8314708528286,815.6,281.53905265955746,49.855299924034625,90716.28270136798,780,276.0489642012071,196000.0,479.3348215711253,196000.0,52.73790759449368,196000.0,600.8737309805786,196000.0
8.0,8.0,3,0.04737158,0.12341192,0.031808767,0.07243428,0.06670984,0.17663635,0.03314629,0.03314629,-10.526146912442016,442.3,1292.1652555411324,918.8,49.62205899574935,673.0,477.0680138680585,737.2,452.0822953731245,57.53787591995206,91174.367545438,784,278.0004343210581,197000.0,535.1548881112778,197000.0,30.940035620621437,197000.0,432.08077770870443,197000.0
8.0,8.0,1,0.05578929,0.14260502,0.040463157,0.040463157,0.070869915,0.17440936,0.030186899,0.07571194,114.94972036986628,902.2,547.3627434352086,740.5,-79.52762402744668,687.8,546.2896773295263,573.0,282.2686292767886,45.55870932806283,91637.79039306659,788,216.0710867507718,198000.0,548.5439710795996,198000.0,28.87526285075156,198000.0,504.8957928972877,198000.0
8.0,8.0,1,0.044825677,0.16032517,0.05770136,0.05770136,0.07314639,0.18044282,0.027874233,0.07687833,-605.7503162754115,813.5,549.0068075125057,649.9,190.68337578171963,504.3,758.0763569522502,625.3,223.004055992766,52.80231853900477,92097.82047233521,792,74.56047062883911,199000.0,557.1905777133503,199000.0,68.77920562989216,199000.0,415.97757274082835,199000.0
8.0,8.0,1,0.04074727,0.14185342,0.04198865,0.04198865,0.06984086,0.19310452,0.030862615,0.078408696,36.754911744571984,809.2,452.4099499095899,831.5,-37.90914466368497,259.2,842.901086770971,742.9,323.539200940362,46.967291721957736,92557.88905103644,796,95.74884997756526,200000.0,583.8420450133177,200000.0,77.90278755669628,200000.0,371.8293936568643,200000.0
16.0,16.0,1,0.029159559,0.080303244,0.045431137,0.045431137,0.049408894,0.1237417,0.02381037,0.053021446,446.0803936429701,859.0,328.1725755362621,642.5,50.025443463110626,345.3,1827.7528593225586,969.9,663.0078179912254,48.53995971009135,93016.57225951238,800,42.82725692290656,201000.0,578.7880226736663,201000.0,119.6214525131561,201000.0,404.6161763141835,201000.0
16.0,16.0,1,0.037024423,0.07246938,0.039043218,0.039043218,0.06916303,0.12199415,0.03393479,0.053187437,500.062259118553,654.7,153.0887030234189,584.7,117.78788584231548,325.6,784.5719126916804,614.3,388.877690168992,45.42065884801559,93470.14914091374,804,-2.5151106752446424,202000.0,490.4557259462439,202000.0,90.83053213608936,202000.0,438.98191476871926,202000.0
16.0,16.0,1,0.040059242,0.06790566,0.04363575,0.04363575,0.053814624,0.12216714,0.038428746,0.05135582,348.8387560256148,432.8,677.6118063131568,764.3,-139.40698678392692,479.4,1398.743648723194,955.2,571.4468060695096,39.301455680979416,93926.66269013763,808,14.82795764878984,203000.0,585.4666592002985,203000.0,79.32154192434975,203000.0,439.8279172436296,203000.0
8.0,8.0,3,0.03842562,0.08512041,0.032013938,0.07291152,0.06260402,0.17515415,0.051847838,0.051847838,453.0305477149558,901.7,704.2301031092085,944.5,37.80759729033862,439.8,638.6841723436046,771.7,458.4381051145269,46.34844361594878,94397.14269475965,812,51.16917406902,204000.0,500.4350437215279,204000.0,114.55539713350181,204000.0,574.4228468403945,204000.0
8.0,8.0,3,0.03134578,0.09220861,0.028130695,0.07879848,0.06949301,0.19709717,0.03486718,0.03486718,1094.3613503021663,912.3,952.2455650532225,795.0,-182.91340398719657,270.3,682.481238599107,845.0,636.5436874918248,55.93147099390626,94851.79356792779,816,113.889725546318,205000.0,493.0289451331393,205000.0,55.982519046311324,205000.0,537.7601387592834,205000.0
16.0,16.0,3,0.02608886,0.059886657,0.024452066,0.053873543,0.043037485,0.11846092,0.034678638,0.034678638,370.0467735420676,679.8,1229.716708205761,920.0,148.129298835201,859.0,421.2422433565488,390.2,542.2837559848947,44.64772707701195,95316.3102925762,820,349.5024576990701,206000.0,482.63350062891175,206000.0,93.95779629684431,206000.0,660.2779582514992,206000.0
16.0,16.0,3,0.025085151,0.057430405,0.02554546,0.053039197,0.044273216,0.10708378,0.034149375,0.034149375,373.0810758404545,840.5,760.4671495883546,874.3,513.1179523097061,876.2,-1.6751639818167177,732.9,411.24775343917463,50.84238559799269,95789.02968004113,824,377.008200213403,207000.0,492.3593272000513,207000.0,135.94430680720967,207000.0,617.9816536036271,207000.0
16.0,16.0,1,0.051875584,0.05153788,0.036372866,0.036372866,0.067360684,0.100315124,0.049418997,0.05139772,660.7344362855886,808.3,760.0286854849754,1000.0,610.8988853594867,848.9,1493.3546423049295,1000.0,881.254162358745,60.43113490799442,96266.59729406761,828,380.2774202119203,208000.0,541.7906459631785,208000.0,187.91464059490497,208000.0,519.9450213668667,208000.0
8.0,8.0,0,0.07466134,0.07466134,0.05748914,0.08720067,0.08960788,0.16573435,0.054690726,0.08707184,-718.7179139386452,811.5,1207.4694314371677,759.5,45.68539215342846,625.4,677.9129392010507,602.6,303.08746221325043,65.09191987500526,96727.74536152324,832,522.3256979533232,209000.0,476.7138040527246,209000.0,211.4926089005597,209000.0,487.87572517865937,209000.0
