beta_t,beta,best_actor_num,mean-okl/0,mean-bkl/0,mean-okl/1,mean-bkl/1,mean-okl/2,mean-bkl/2,mean-okl/3,mean-bkl/3,return-average/0,episode-length-avg/0,return-average/1,episode-length-avg/1,return-average/2,episode-length-avg/2,return-average/3,episode-length-avg/3,return-average,time-eval,time-total,epoch,avg-path-return/0,total-samples/0,avg-path-return/1,total-samples/1,avg-path-return/2,total-samples/2,avg-path-return/3,total-samples/3
16.0,16.0,0,0.043277908,0.043277908,0.05313772,0.15231667,0.027499862,0.06691534,0.03238578,0.09499768,2364.5835041327036,833.2,-504.4483503667142,659.7,2081.3855673363146,688.7,1553.1571961288132,788.8,1373.6694793077793,35.113714726874605,290128.0919902647,2492,1637.7588480563772,624000.0,989.8933268450864,624000.0,822.377627940467,624000.0,937.705189799721,624000.0
32.0,32.0,0,0.036607042,0.036607042,0.04065608,0.07457663,0.036373835,0.046879068,0.04103823,0.067868374,1524.9828735563253,814.2,2408.9755239004194,1000.0,1835.303473464979,830.4,3013.3515344859916,912.5,2195.653351351929,44.30440301285125,290610.9618042015,2496,1163.8209097881286,625000.0,1006.0003998070961,625000.0,880.2056177145598,625000.0,1146.9660998745535,625000.0
16.0,16.0,2,0.04155687,0.039615035,0.025782235,0.06842861,0.16580893,0.16580893,0.020823136,0.07364155,2539.425650836873,901.9,1021.844748475545,695.8,814.2208855439401,533.4,2972.707092708695,891.7,1837.0495943912633,52.281604941003025,291085.5078025948,2500,884.209723156126,626000.0,622.8216639409272,626000.0,906.9742199724202,626000.0,901.9317114012863,626000.0
8.0,8.0,2,0.049105193,0.1526091,0.05429098,0.15994628,0.06555651,0.06555651,0.048260763,0.17674483,-1904.602382105909,1000.0,-228.56105306010727,936.8,1027.4275815497956,617.4,762.1881692244912,721.0,-85.8869210979324,44.53392160916701,291566.69994327344,2504,581.6313105805349,627000.0,522.5849977725385,627000.0,1008.4509536800633,627000.0,976.5472137748169,627000.0
16.0,16.0,2,0.072660394,0.12965699,0.08590674,0.118268676,0.075584106,0.075584106,0.06882977,0.15612513,-437.2567156858853,1000.0,-2332.0712955937715,1000.0,96.76519207460578,703.1,996.8616174248376,612.6,-418.9253004450534,50.67266946192831,292040.6137620964,2508,390.4108934567924,628000.0,344.49779933263846,628000.0,1099.6398777892343,628000.0,785.7165805617419,628000.0
16.0,16.0,2,0.04771782,0.097221054,0.053207632,0.119923405,0.073566,0.073566,0.07195579,0.24486715,793.125328315943,476.8,-1229.871980702877,1000.0,828.8355196914924,895.3,-397.2349611126582,281.9,-1.2865234520249373,43.90905912499875,292502.5826524572,2512,630.4449393725281,629000.0,113.2032192927064,629000.0,1143.3817853922988,629000.0,393.302460605539,629000.0
16.0,16.0,2,0.073931105,0.0863747,0.08509751,0.10605834,0.08519218,0.08519218,0.100077346,0.23084348,2238.4487119316013,863.0,1466.0266692527632,911.9,320.2357026282442,696.9,-1779.0154330548698,903.0,561.4239126894348,32.0544275380671,292983.9708935992,2516,488.0696373672915,630000.0,-40.77987894779524,630000.0,855.5604525114775,630000.0,9.03622612869599,630000.0
16.0,16.0,2,0.08977567,0.08572812,0.102581285,0.093384385,0.08927742,0.08927742,0.07824013,0.19360061,2217.017923586363,702.9,634.1578748733008,599.6,120.11633114643412,353.3,-166.87610871611716,491.7,701.1040052224953,50.03783797100186,293440.4445729427,2520,541.6233450400133,631000.0,-162.51843480078216,631000.0,642.3004987394563,631000.0,-208.29442768349378,631000.0
16.0,16.0,0,0.034889337,0.034889337,0.11481013,0.08388965,0.12518348,0.080105,0.10417155,0.14818852,1751.2457361728902,851.3,1151.6073390939,544.4,1595.0873805599579,659.3,-58.26653964750956,481.8,1109.9184790448096,25.91478658793494,293901.739597096,2524,841.7610294938492,632000.0,42.18144855280061,632000.0,529.5437558317216,632000.0,-197.0642170783927,632000.0
16.0,16.0,0,0.041714262,0.041714262,0.043106202,0.08647824,0.03841266,0.07781461,0.057138294,0.13942316,-184.4517942366089,567.6,1670.8082985527053,698.0,2418.492297377219,918.1,-411.830519418957,650.3,873.2545705685895,30.780405935831368,294374.0832580008,2528,987.3544273323048,633000.0,23.13240751894525,633000.0,440.3964627594967,633000.0,-134.15805482707265,633000.0
16.0,16.0,0,0.06387591,0.06387591,0.06507764,0.09220029,0.056820497,0.07935291,0.059070982,0.124817125,2502.016797119533,897.1,1867.4458734484701,915.5,1812.9214400606506,597.6,205.29036455666446,502.0,1596.9186187963296,42.264221291057765,294842.0300249659,2532,1078.810755753701,634000.0,8.100862703508676,634000.0,629.0033987231902,634000.0,-264.67823199791394,634000.0
16.0,16.0,0,0.046999,0.046999,0.037344705,0.084712096,0.04300263,0.078141995,0.04622322,0.107730664,1089.885090065759,732.0,2068.6456932425094,862.5,3114.018137266799,959.6,1649.2476620002303,725.1,1980.4491456438245,37.16658211615868,295320.0957534405,2536,1373.0283941868784,635000.0,262.1964099316664,635000.0,897.549736998287,635000.0,-68.60718102591295,635000.0
16.0,16.0,0,0.038820755,0.038820755,0.033046473,0.08824771,0.03533574,0.073196836,0.03434426,0.0968246,1627.8933187873708,739.6,2171.7907154543364,849.4,2086.0328923755164,776.0,672.3259035339515,755.6,1639.510707537794,48.246907469816506,295796.95911744225,2540,1408.0565279723671,636000.0,805.9184299484659,636000.0,720.0208480341471,636000.0,284.1750177815591,636000.0
16.0,16.0,0,0.044907287,0.044907287,0.0408982,0.07889253,0.058937363,0.067286365,0.060662754,0.09053995,481.3218395941776,485.1,3492.4081120141736,1000.0,2882.2490305338574,878.6,1778.2818509462868,751.0,2158.565208272124,46.414010068867356,296263.827724388,2544,1607.001960152113,637000.0,1174.8632785380803,637000.0,664.8300542230985,637000.0,532.5137464412065,637000.0
8.0,8.0,0,0.046420142,0.046420142,0.057630662,0.11920523,0.050651625,0.10244029,0.063086376,0.11611707,2252.9594432606086,932.3,2014.8974610353187,996.5,1192.8703007876907,597.6,1552.9728935252954,647.6,1753.4250246522283,36.60517244506627,296736.1921868549,2548,1593.6975587818445,638000.0,1240.997434136399,638000.0,912.5933275726169,638000.0,775.9709423360324,638000.0
8.0,8.0,0,0.050558947,0.050558947,0.045200944,0.14649358,0.04482765,0.12728228,0.041530464,0.13709536,-621.4480415399496,874.6,1064.6020133104041,704.2,1593.0339305317816,602.3,1066.5808001948278,553.5,775.6921756242659,41.52836550003849,297199.63439225603,2552,1461.5509847314145,639000.0,1549.5939022029477,639000.0,1461.0047835871821,639000.0,781.9217889573459,639000.0
8.0,8.0,2,0.060438056,0.20461102,0.079715334,0.1432459,0.06525984,0.06525984,0.06417938,0.13004625,672.2101737079527,861.0,2334.753612168565,949.3,845.4910240641786,465.1,3234.243635514777,954.3,1771.6746113638683,33.56478939484805,297668.3780970933,2556,1323.7130988748531,640000.0,1632.67792693897,640000.0,1642.5978742049524,640000.0,1269.4911689556045,640000.0
